title,genres,language,country,release_year,director,actors,imdb_link,watched_date
Spectre,Action|Adventure|Thriller,English,UK,2015,Sam Mendes,Christoph Waltz|Rory Kinnear|Stephanie Sigman,http://www.imdb.com/title/tt2379713/,2015-02-23
Avengers: Age of Ultron,Action|Adventure|Sci-Fi,English,USA,2015,Joss Whedon,Chris Hemsworth|Robert Downey Jr.|Scarlett Johansson,http://www.imdb.com/title/tt2395427/,2015-10-24
Jurassic World,Action|Adventure|Sci-Fi|Thriller,English,USA,2015,Colin Trevorrow,Bryce Dallas Howard|Judy Greer|Omar Sy,http://www.imdb.com/title/tt0369610/,2015-02-10
Furious 7,Action|Crime|Thriller,English,USA,2015,James Wan,Jason Statham|Paul Walker|Vin Diesel,http://www.imdb.com/title/tt2820852/,2015-02-17
The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,English,USA,2015,Peter Sohn,A.J. Buckley|Jack McGraw|Peter Sohn,http://www.imdb.com/title/tt1979388/,2015-08-03
Jupiter Ascending,Action|Adventure|Sci-Fi,English,USA,2015,Lana Wachowski,Channing Tatum|Mila Kunis|Eddie Redmayne,http://www.imdb.com/title/tt1617661/,2015-08-12
Inside Out,Adventure|Animation|Comedy|Drama|Family|Fantasy,English,USA,2015,Pete Docter,Amy Poehler|Mindy Kaling|Phyllis Smith,http://www.imdb.com/title/tt2096673/,2015-09-21
The Lovers,Action|Adventure|Romance|Sci-Fi,English,Belgium,2015,Roland Joffé,Tamsin Egerton|Alice Englert|Bipasha Basu,http://www.imdb.com/title/tt1321869/,2015-02-23
Tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi,English,USA,2015,Brad Bird,Judy Greer|Chris Bauer|Thomas Robinson,http://www.imdb.com/title/tt1964418/,2015-04-22
The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,English,USA,2015,Francis Lawrence,Jennifer Lawrence|Philip Seymour Hoffman|Josh Hutcherson,http://www.imdb.com/title/tt1951266/,2015-01-28
Terminator Genisys,Action|Adventure|Sci-Fi,English,USA,2015,Alan Taylor,J.K. Simmons|Emilia Clarke|Matt Smith,http://www.imdb.com/title/tt1340138/,2015-06-01
Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,English,Australia,2015,George Miller,Tom Hardy|Charlize Theron|Zoë Kravitz,http://www.imdb.com/title/tt1392190/,2015-01-08
Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,English,China,2015,Christopher McQuarrie,Tom Cruise|Jeremy Renner|Sean Harris,http://www.imdb.com/title/tt2381249/,2015-11-28
